id,title,media,url,stream,rank,created_at,updated_at,episode
45,無職転生 ～異世界行ったら本気だす～  第2部,Abemaビデオ,https://abema.tv/video/title/149-11,Sun,1,2021-12-08 09:18:25 UTC,2021-12-13 12:20:47 UTC,21
46,先輩がうざい後輩の話,Abemaビデオ,https://abema.tv/video/title/115-83,Sun,3,2021-12-08 09:18:25 UTC,2021-12-12 04:51:31 UTC,10
47,見える子ちゃん,Abemaビデオ,https://abema.tv/video/title/54-63,Tue,5,2021-12-08 09:18:25 UTC,2021-12-13 02:47:29 UTC,10
48,takt op.Destiny,Abemaビデオ,https://abema.tv/video/title/536-2,Sat,8,2021-12-08 09:18:25 UTC,2021-12-10 11:17:53 UTC,10
49,世界最高の暗殺者、異世界貴族に転生する,Abemaビデオ,https://abema.tv/video/title/25-182,Thu,10,2021-12-08 09:18:25 UTC,2021-12-10 06:21:36 UTC,10
50,86―エイティシックス― 第2クール,Abemaビデオ,https://abema.tv/video/title/25-163,Sun,11,2021-12-08 09:18:25 UTC,2021-12-10 06:21:38 UTC,19
51,異世界食堂2,Abemaビデオ,https://abema.tv/video/title/194-25,Sat,14,2021-12-08 09:18:25 UTC,2021-12-11 14:18:47 UTC,11
52,プラチナエンド,Abemaビデオ,https://abema.tv/video/title/19-81,Fri,15,2021-12-08 09:18:25 UTC,2021-12-10 06:21:42 UTC,9
53,結城友奈は勇者である 大満開の章,Abemaビデオ,https://abema.tv/video/title/189-34,Sun,16,2021-12-08 09:18:25 UTC,2021-12-11 14:34:40 UTC,11
54,最果てのパラディン,Abemaビデオ,https://abema.tv/video/title/54-64,Sun,19,2021-12-08 09:18:25 UTC,2021-12-10 06:21:46 UTC,8
55,大正オトメ御伽話,Abemaビデオ,https://abema.tv/video/title/189-35,Sat,21,2021-12-08 09:18:25 UTC,2021-12-11 14:34:51 UTC,10
56,月とライカと吸血姫,Abemaビデオ,https://abema.tv/video/title/420-48,Tue,20,2021-12-08 09:18:25 UTC,2021-12-13 23:01:20 UTC,10
57,サクガン,Abemaビデオ,https://abema.tv/video/title/198-8,Mon,22,2021-12-08 09:18:25 UTC,2021-12-13 06:47:51 UTC,10
58,吸血鬼すぐ死ぬ,Abemaビデオ,https://abema.tv/video/title/149-14,Tue,23,2021-12-08 09:18:25 UTC,2021-12-13 23:01:31 UTC,11
59,ルパン三世 PART6,Abemaビデオ,https://abema.tv/video/title/172-47,Sun,24,2021-12-08 09:18:25 UTC,2021-12-12 06:01:42 UTC,10
60,SELECTION PROJECT,Abemaビデオ,https://abema.tv/video/title/25-179,Sat,25,2021-12-08 09:18:25 UTC,2021-12-11 14:35:21 UTC,10
61,逆転世界ノ電池少女,Abemaビデオ,https://abema.tv/video/title/25-181,Fri,28,2021-12-08 09:18:25 UTC,2021-12-10 06:21:59 UTC,9
62,ワールドトリガー 3rdシーズン,Abemaビデオ,https://abema.tv/video/title/5-27,Tue,29,2021-12-08 09:18:25 UTC,2021-12-13 14:02:31 UTC,10
63,プラオレ！～PRIDE OF ORANGE～,Abemaビデオ,https://abema.tv/video/title/481-7,Thu,31,2021-12-08 09:18:25 UTC,2021-12-08 14:12:20 UTC,10
64,かぎなど,Abemaビデオ,https://abema.tv/video/title/283-19,Wed,32,2021-12-08 09:18:25 UTC,2021-12-08 11:11:23 UTC,9
65,進化の実～知らないうちに勝ち組人生～,Abemaビデオ,https://abema.tv/video/title/54-66,Wed,33,2021-12-08 09:18:25 UTC,2021-12-13 23:02:11 UTC,10
66,やくならマグカップも 二番窯,Abemaビデオ,https://abema.tv/video/title/6-3,Thu,34,2021-12-08 09:18:25 UTC,2021-12-09 08:10:09 UTC,10
67,でーじミーツガール,Abemaビデオ,https://abema.tv/video/title/168-33,Mon,36,2021-12-08 09:18:25 UTC,2021-12-11 14:36:04 UTC,11
68,テスラノート,Abemaビデオ,https://abema.tv/video/title/420-47,Wed,40,2021-12-08 09:18:25 UTC,2021-12-13 06:48:46 UTC,11
69,メガトン級ムサシ,Abemaビデオ,https://abema.tv/video/title/19-80,Sat,44,2021-12-08 09:18:25 UTC,2021-12-11 14:36:16 UTC,11
70,キミとフィットボクシング,Abemaビデオ,https://abema.tv/video/title/54-65,Sat,46,2021-12-08 09:18:25 UTC,2021-12-12 06:02:51 UTC,11
71,シキザクラ,Abemaビデオ,https://abema.tv/video/title/172-48,Fri,49,2021-12-08 09:18:25 UTC,2021-12-09 15:00:02 UTC,9
72,ポプテピピック 再放送(リミックス版),Abemaビデオ,https://abema.tv/video/title/115-84,Sun,50,2021-12-08 09:18:25 UTC,2021-12-12 06:03:03 UTC,10
73,Deep Insanity THE LOST CHILD,Abemaビデオ,https://abema.tv/video/title/25-180,Wed,51,2021-12-08 09:18:25 UTC,2021-12-08 11:06:04 UTC,9
74,ビルディバイド -#000000- 第1期,Abemaビデオ,https://abema.tv/video/title/26-152,Sun,52,2021-12-08 09:18:25 UTC,2021-12-12 06:03:16 UTC,10
75,ヴィジュアルプリズン,Abemaビデオ,https://abema.tv/video/title/26-151,Sat,53,2021-12-08 09:18:25 UTC,2021-12-11 14:36:51 UTC,10
76,MUTEKING THE Dancing HERO,Abemaビデオ,https://abema.tv/video/title/19-79,Tue,54,2021-12-08 09:18:25 UTC,2021-12-13 06:49:28 UTC,11
77,月曜日のたわわ2,Abemaビデオ,https://abema.tv/video/title/11-40,Tue,26,2021-12-08 09:18:25 UTC,2021-12-08 11:11:43 UTC,12
78,カードファイト!! ヴァンガード overDress Season2,Abemaビデオ,https://abema.tv/video/title/283-18,Tue,55,2021-12-08 09:18:25 UTC,2021-12-14 04:24:36 UTC,11
79,鬼滅の刃 遊郭編,Abemaビデオ,https://abema.tv/video/title/26-150,Tue,2,2021-12-08 09:18:25 UTC,2021-12-13 06:49:43 UTC,2
80,がんばれ同期ちゃん,Abemaビデオ,https://abema.tv/video/title/11-41,Tue,27,2021-12-08 09:18:25 UTC,2021-12-08 11:06:13 UTC,12
81,ジャヒー様はくじけない！,Abemaビデオ,https://abema.tv/video/title/194-24,Fri,4,2021-12-08 09:18:25 UTC,2021-12-10 06:00:11 UTC,18
82,SHAMAN KING（2021年版）,Abemaビデオ,https://abema.tv/video/title/115-77,Fri,56,2021-12-08 09:18:25 UTC,2021-12-10 07:02:21 UTC,34
83,白い砂のアクアトープ,Abemaビデオ,https://abema.tv/video/title/194-23,Fri,6,2021-12-08 09:18:25 UTC,2021-12-10 06:29:41 UTC,23
84,ドラゴンクエスト ダイの大冒険,Abemaビデオ,https://abema.tv/video/title/5-25,Sun,57,2021-12-08 09:18:25 UTC,2021-12-12 06:04:20 UTC,61
